City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Souillac,MU,-20.5167,57.5167,80.98,83,75,5.75,light intensity shower rain
145,Saint George,US,37.1041,-113.5841,70.27,10,0,5.75,clear sky
146,Victoria,HK,22.2855,114.1577,65.17,90,98,1.01,overcast clouds
147,Aguimes,ES,27.9054,-15.4461,62.65,72,20,15.01,few clouds
148,Hithadhoo,MV,-0.6,73.0833,80.98,71,100,11.68,overcast clouds
149,Senneterre,CA,48.3835,-77.2328,-9.18,87,100,7.47,overcast clouds
150,Warrington,GB,53.3925,-2.5802,48.88,93,75,10.36,broken clouds
151,Longyearbyen,SJ,78.2186,15.6401,8.44,78,0,9.22,clear sky
152,Bethel,US,41.3712,-73.414,52.16,49,0,8.99,clear sky
153,Okhotsk,RU,59.3833,143.3,-15.52,82,8,8.52,clear sky
154,Noyabrsk,RU,63.1994,75.4507,-10.21,97,17,13.31,few clouds
155,Mar Del Plata,AR,-38.0023,-57.5575,64.42,70,40,13.8,scattered clouds
156,Kapaa,US,22.0752,-159.319,78.48,72,75,6.91,broken clouds
157,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,9,0.0,clear sky
158,Briancon,FR,44.9,6.65,30.51,91,100,2.51,overcast clouds
159,Pacific Grove,US,36.6177,-121.9166,85.59,29,0,4.61,clear sky
160,Kurumkan,RU,54.3,110.3,-22.86,94,72,3.4,broken clouds
161,Merauke,ID,-8.4667,140.3333,77.79,82,0,10.96,clear sky
162,Corpus Christi,US,27.8006,-97.3964,63.0,54,75,32.21,broken clouds
163,Santa Fe,AR,-31.6333,-60.7,76.75,38,80,5.99,broken clouds
164,Zhezkazgan,KZ,47.8043,67.7144,21.97,96,99,14.99,overcast clouds
165,Camacha,PT,33.0833,-16.3333,59.76,77,40,11.5,scattered clouds
166,Tra Vinh,VN,9.9347,106.3453,77.45,80,58,10.85,broken clouds
167,Nichinan,JP,31.6,131.3667,55.08,97,100,7.7,overcast clouds
168,Douentza,ML,14.9951,-2.9517,69.75,13,26,4.36,scattered clouds
169,Nakamura,JP,32.9833,132.9333,47.71,87,100,7.78,overcast clouds
170,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,77,20,10.71,few clouds
171,Vestmannaeyjar,IS,63.4427,-20.2734,28.76,77,25,3.33,scattered clouds
172,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.14,96,93,1.79,light rain
173,Santa Rosa,PH,14.3122,121.1114,79.11,86,95,8.7,overcast clouds
174,San Patricio,US,28.017,-97.5169,62.69,61,100,25.68,overcast clouds
175,Pevek,RU,69.7008,170.3133,-22.38,98,100,8.93,overcast clouds
176,Bonavista,CA,48.6499,-53.1147,43.12,86,99,23.09,overcast clouds
177,Saskylakh,RU,71.9167,114.0833,-3.55,77,58,9.89,broken clouds
178,General Roca,AR,-39.0333,-67.5833,84.6,11,47,11.32,scattered clouds
179,Mildura,AU,-34.2,142.15,80.08,42,65,23.06,broken clouds
180,Tura,IN,25.5198,90.2201,53.96,76,0,4.25,clear sky
181,Hualmay,PE,-11.0964,-77.6139,73.9,72,45,9.46,scattered clouds
182,Lerwick,GB,60.1545,-1.1494,44.6,89,98,25.14,overcast clouds
183,Naliya,IN,23.2667,68.8333,64.6,68,0,6.38,clear sky
184,Bengkulu,ID,-3.8004,102.2655,75.24,84,95,3.78,light rain
185,Luderitz,NA,-26.6481,15.1594,73.67,68,5,7.45,clear sky
186,Ballina,AU,-28.8667,153.5667,71.78,85,97,12.73,overcast clouds
187,Kununurra,AU,-15.7667,128.7333,78.78,94,43,3.44,scattered clouds
188,Talaya,RU,61.3833,152.75,-40.36,100,95,1.61,overcast clouds
189,Stupino,RU,54.9008,38.0708,26.35,93,42,12.55,scattered clouds
190,Liuzhou,CN,24.3126,109.3892,45.82,88,100,7.67,light rain
191,Alice Springs,AU,-23.7,133.8833,63.95,68,0,4.61,clear sky
192,Simao Dias,BR,-10.7383,-37.8111,77.22,77,66,9.84,broken clouds
193,Akureyri,IS,65.6835,-18.0878,21.13,79,100,6.91,overcast clouds
194,Amealco,MX,20.1833,-100.15,57.27,23,72,11.52,broken clouds
195,Awbari,LY,26.5921,12.7805,52.81,29,0,8.84,clear sky
196,Sur,OM,22.5667,59.5289,68.58,62,0,9.48,clear sky
197,Khulo,GE,41.644,42.3129,31.93,71,2,0.78,clear sky
198,Muyezerskiy,RU,63.9333,31.65,2.55,100,99,4.18,overcast clouds
199,Price,US,39.5994,-110.8107,48.42,28,0,0.0,clear sky
200,Half Moon Bay,US,37.4636,-122.4286,82.9,42,40,0.0,scattered clouds
201,Bardiyah,LY,31.7561,25.0865,55.6,67,0,6.78,clear sky
202,Magdagachi,RU,53.45,125.8,-11.63,91,95,3.91,overcast clouds
203,Pangkalanbuun,ID,-2.6833,111.6167,73.45,92,100,1.95,overcast clouds
204,Vanimo,PG,-2.6741,141.3028,77.56,87,99,4.61,overcast clouds
205,Hasaki,JP,35.7333,140.8333,28.8,61,38,3.91,scattered clouds
206,Gornopravdinsk,RU,60.05,69.9,1.49,94,100,7.29,overcast clouds
207,Eureka,US,40.8021,-124.1637,69.19,68,0,8.01,clear sky
208,Uruzgan,AF,32.8333,66.0,39.2,42,50,7.09,scattered clouds
209,Grindavik,IS,63.8424,-22.4338,21.67,79,0,5.75,clear sky
210,Coihaique,CL,-45.5752,-72.0662,84.81,47,33,5.01,scattered clouds
211,Coquimbo,CL,-29.9533,-71.3436,69.53,68,20,9.22,few clouds
212,Alekseyevka,RU,50.6309,38.6903,19.81,92,57,9.37,broken clouds
213,Sumenep,ID,-7.0167,113.8667,75.74,90,100,5.44,overcast clouds
214,Bay Roberts,CA,47.5999,-53.2648,47.52,84,85,8.01,overcast clouds
215,Central Point,US,42.376,-122.9164,72.9,30,0,5.99,clear sky
216,Dickinson,US,29.4608,-95.0513,50.99,76,100,32.21,overcast clouds
217,Finschhafen,PG,-6.6024,147.8681,80.56,79,99,2.57,overcast clouds
218,Kenora,CA,49.8167,-94.4337,-6.23,47,75,4.61,broken clouds
219,Majene,ID,-3.5403,118.9707,75.7,82,100,5.08,light rain
220,North Vanlaiphai,IN,23.1333,93.0667,36.09,72,10,3.4,clear sky
221,Impfondo,CG,1.6381,18.0667,76.84,31,14,2.82,few clouds
222,Berekum,GH,7.4534,-2.584,79.61,57,80,4.29,broken clouds
